,Name,Zone,Price,Room,Bath,Size,Floor
0,"Trilocale buono stato, terzo piano, Rialto, Venezia",san-marco-rialto,€ 198.000,3,1,36m²,3
1,"Palazzo - Edificio Sestiere San Marco, San Marco, Venezia",san-marco-rialto,€ 1.600.000,,,270m²,1
2,"Appartamento secondo piano, San Marco, Venezia",san-marco-rialto,€ 765.000,5,,190m²,2
3,"Albergo Ramo del Magazen 1468, Rialto, Venezia",san-marco-rialto,€ 1.600.000,,,223m²,4
4,"Trilocale Ponte De Rialto, San Marco, Venezia",san-marco-rialto,€ 498.000,3,1,80m²,2
5,"Trilocale Calle Larga 22 Marzo, San Marco, Venezia",san-marco-rialto,€ 530.000,3,,85m²,5
6,"Bilocale Corte Ancillotto 610, San Marco, Venezia",san-marco-rialto,€ 240.000,2,1,49m²,4
7,"Attico Campo de le Becarie, Rialto, Venezia",san-marco-rialto,€ 1.300.000,5+,,500m²,3
8,"Appartamento buono stato, terzo piano, Santi Giovanni e Paolo - Santa Maria Formosa, Venezia",san-marco-rialto,"€ 430.000€ 459.000(-6,3%)",5+,,123m²,3
9,"Appartamento riva del Vin, Rialto, Venezia",san-marco-rialto,€ 850.000,5,,200m²,1
10,"Trilocale piazza San Marco, San Marco, Venezia",san-marco-rialto,€ 295.000,3,1,65m²,1
11,"Appartamento buono stato, terzo piano, San Marco, Venezia",san-marco-rialto,€ 1.350.000,5+,,210m²,3
12,"Attico Ponte De Rialto, San Marco, Venezia",san-marco-rialto,,5+,,200m²,3
13,"Trilocale Corte Vechia 3500, San Marco, Venezia",san-marco-rialto,€ 275.000,3,1,61m²,R
14,"Quadrilocale Campo San Maurizio, San Marco, Venezia",san-marco-rialto,€ 350.000,4,1,78m²,3
15,"Appartamento san marco 3907, San Marco, Venezia",san-marco-rialto,€ 1.480.000,5+,,291m²,2
16,"Villa unifamiliare Area Residenziale Indirizzo non visibile, San Marco, Venezia",san-marco-rialto,€ 930.000,5+,,170m²,
17,"Villa bifamiliare via Filippo Scarante, Favorita, Venezia",san-marco-rialto,€ 445.000,5+,,300m²,
18,"Quadrilocale Calle Bianca Cappello Già Ponte Storto 1285, Rialto, Venezia",san-marco-rialto,€ 455.000,4,1,148m²,1
19,"Appartamento Calle de la Malvasia Vechia, San Marco, Venezia",san-marco-rialto,€ 670.000,5+,,123m²,1
20,"Quadrilocale Calle Toscana 559, Rialto, Venezia",san-marco-rialto,€ 359.000,4,1,98m²,1
21,"Quadrilocale Calle dei Cinque, Rialto, Venezia",san-marco-rialto,€ 325.000,4,1,96m²,3
22,"Quadrilocale Campo de la Guerra, San Marco, Venezia",san-marco-rialto,€ 485.000,4,,90m²,1
23,"Trilocale ottimo stato, terzo piano, Rialto, Venezia",san-marco-rialto,€ 1.200.000,3,1,110m²,3
24,"Appartamento Campo San Provolo, San Marco, Venezia",san-marco-rialto,€ 520.000,5,1,125m²,2
25,"Trilocale piazza San Marco, San Marco, Venezia",san-marco-rialto,"€ 400.000€ 430.000(-7,0%)",3,1,65m²,1
26,"Appartamento Calle de la Mandola, San Marco, Venezia",san-marco-rialto,€ 520.000,5+,,155m²,1
27,"Appartamento Campo San Silvestro, Rialto, Venezia",san-marco-rialto,€ 545.000,5,,125m²,1
28,"Trilocale piazza San Marco, San Marco, Venezia",san-marco-rialto,€ 795.000,3,1,80m²,4
29,"Appartamento Riva del Vin, Rialto, Venezia",san-marco-rialto,€ 590.000,5+,,160m²,1
30,"Trilocale Campo Sant'Anzolo 3810, San Marco, Venezia",san-marco-rialto,€ 1.400.000,3,,200m²,1
