,Name,Zone,Price,Room,Size,Floor
0,"Trilocale Calle San Gallo, San Marco, Venezia",san-marco-rialto,€ 360.000,3,65m²,2
1,"Quadrilocale Campo San Maurizio, San Marco, Venezia",san-marco-rialto,€ 350.000,4,78m²,3
2,"Terratetto unifamiliare Campo Sant'Anzolo, San Marco, Venezia",san-marco-rialto,€ 550.000,4,120m²,
3,"Palazzo - Edificio Sestiere San Marco, San Marco, Venezia",san-marco-rialto,"€ 1.300.000€ 1.600.000(-18,8%)",,270m²,1
4,"Appartamento secondo piano, San Marco, Venezia",san-marco-rialto,€ 765.000,5,190m²,2
5,"Appartamento Calle dei Fabbri, San Marco, Venezia",san-marco-rialto,€ 740.000,5,140m²,3
6,"Bilocale Corte Ancillotto 610, San Marco, Venezia",san-marco-rialto,€ 240.000,2,49m²,4
7,"Trilocale Ramo de l'Orso 5506, San Marco, Venezia",san-marco-rialto,€ 398.000,3,95m²,3
8,"Appartamento via Sestiere Castello 4249, San Marco, Venezia",san-marco-rialto,,5,94m²,2
9,"Trilocale piazza San Marco, San Marco, Venezia",san-marco-rialto,€ 295.000,3,65m²,1
10,"Appartamento buono stato, terzo piano, Santi Giovanni e Paolo - Santa Maria Formosa, Venezia",san-marco-rialto,€ 430.000,5+,123m²,3
11,"Quadrilocale Corte del Duca Sforza 3045, San Marco, Venezia",san-marco-rialto,€ 695.000,4,103m²,T - 3
12,"Terratetto unifamiliare Campo Sant'Anzolo, San Marco, Venezia",san-marco-rialto,€ 560.000,3,119m²,
13,"Appartamento buono stato, terzo piano, San Marco, Venezia",san-marco-rialto,€ 1.350.000,5+,210m²,3
14,"Trilocale Campo Manin, San Marco, Venezia",san-marco-rialto,€ 520.000,3,100m²,3
15,"Palazzo - Edificio Calle dei Fabbri 3231, San Marco, Venezia",san-marco-rialto,€ 1.350.000,,262m²,1 - 2
16,"Appartamento Ponte De Rialto, San Marco, Venezia",san-marco-rialto,€ 580.000,5+,140m²,3
17,"Monolocale ottimo stato, piano rialzato, San Marco, Venezia",san-marco-rialto,€ 120.000,,25m²,R
18,"Quadrilocale ottimo stato, primo piano, San Marco, Venezia",san-marco-rialto,€ 540.000,4,90m²,1
19,"Trilocale Corte Vechia 3500, San Marco, Venezia",san-marco-rialto,€ 275.000,3,61m²,R
20,"Appartamento calle degli avvocati 3907, San Marco, Venezia",san-marco-rialto,€ 1.480.000,5+,291m²,2
21,"Trilocale Ponte De Rialto, San Marco, Venezia",san-marco-rialto,€ 498.000,3,80m²,2
22,"Villa unifamiliare Area Residenziale Indirizzo non visibile, San Marco, Venezia",san-marco-rialto,€ 930.000,5+,170m²,
23,"Appartamento ottimo stato, primo piano, San Marco, Venezia",san-marco-rialto,€ 1.100.000,5+,200m²,1
24,"Trilocale piazza San Marco, San Marco, Venezia",san-marco-rialto,€ 775.000,3,80m²,4
25,"Villa bifamiliare via Antonio Rosmini 2, Favorita, Venezia",san-marco-rialto,€ 445.000,5+,300m²,
26,"Quadrilocale Calle Bianca Cappello Già Ponte Storto 1285, Rialto, Venezia",san-marco-rialto,€ 455.000,4,148m²,1
27,"Quadrilocale Calle Toscana 559, Rialto, Venezia",san-marco-rialto,€ 359.000,4,98m²,1
28,"Trilocale Lion, San Marco, Venezia",san-marco-rialto,€ 255.000,3,50m²,T
29,"Trilocale Sotoportego Barbarigo 2503, San Marco, Venezia",san-marco-rialto,€ 490.000,3,90m²,4
30,"Trilocale ottimo stato, terzo piano, Rialto, Venezia",san-marco-rialto,,3,110m²,3
31,"Appartamento Campo San Provolo, San Marco, Venezia",san-marco-rialto,€ 520.000,5,125m²,2
32,"Appartamento Calle de la Mandola, San Marco, Venezia",san-marco-rialto,€ 520.000,5+,155m²,1
33,"Trilocale piazza San Marco, San Marco, Venezia",san-marco-rialto,€ 400.000,3,65m²,1
34,"Appartamento Campo San Silvestro, Rialto, Venezia",san-marco-rialto,€ 545.000,5,125m²,1
35,"Trilocale Salizada San Samuele, San Marco, Venezia",san-marco-rialto,€ 490.000,3,65m²,T
36,"Appartamento Campo San Moisè, San Marco, Venezia",san-marco-rialto,€ 1.835.000,5+,370m²,3
37,"Quadrilocale Salizada San Samuele, San Marco, Venezia",san-marco-rialto,€ 585.000,4,100m²,1
38,"Appartamento Campo Manin, San Marco, Venezia",san-marco-rialto,€ 1.100.000,5,170m²,2
39,"Trilocale Calle Larga 22 Marzo, San Marco, Venezia",san-marco-rialto,€ 530.000,3,85m²,5
40,"Bilocale Campo Manin, San Marco, Venezia",san-marco-rialto,€ 400.000,2,60m²,4
41,"Appartamento Campo San Provolo, San Marco, Venezia",san-marco-rialto,€ 6.500.000,5+,350m²,3
42,"Appartamento Campo de la Guerra, San Marco, Venezia",san-marco-rialto,€ 790.000,5,180m²,3
43,"Quadrilocale Campo San Maurizio, San Marco, Venezia",san-marco-rialto,€ 1.295.000,4,130m²,2
44,"Appartamento Riva del Vin, Rialto, Venezia",san-marco-rialto,€ 590.000,5+,160m²,1
45,"Appartamento Campo Santo Stefano, San Marco, Venezia",san-marco-rialto,€ 460.000,5+,132m²,T - 4
46,"Quadrilocale Calle Toscana 559, Rialto, Venezia",san-marco-rialto,€ 359.000,4,98m²,1
47,"Attico Campo Manin, San Marco, Venezia",san-marco-rialto,€ 519.000,4,100m²,3
48,"Attico Sotoportego del Tagiapiera, San Polo, Venezia",san-marco-rialto,€ 390.000,4,85m²,3
49,"Appartamento Calle de la Malvasia Vechia, San Marco, Venezia",san-marco-rialto,€ 670.000,5+,123m²,1
50,"Trilocale Campo San Beneto, San Marco, Venezia",san-marco-rialto,€ 390.000,3,65m²,1
51,"Quadrilocale Calle de le Colonne 1700, San Marco, Venezia",san-marco-rialto,€ 790.000,4,120m²,5
52,"Appartamento Sant Aponal, Rialto, Venezia",san-marco-rialto,€ 590.000,5,140m²,2
