,Name,Zone,Price,Room,Size,Floor,Price/Size,Price/Room,Price/Floor
0,"Trilocale Calle San Gallo, San Marco, Venezia",san-marco-rialto,360000.0,3.0,65.0,2.0,5538.461538461538,120000.0,120000.0
1,"Quadrilocale Campo San Maurizio, San Marco, Venezia",san-marco-rialto,350000.0,4.0,78.0,3.0,4487.179487179487,87500.0,87500.0
2,"Appartamento secondo piano, San Marco, Venezia",san-marco-rialto,765000.0,5.0,190.0,2.0,4026.315789473684,153000.0,153000.0
3,"Appartamento Calle dei Fabbri, San Marco, Venezia",san-marco-rialto,740000.0,5.0,140.0,3.0,5285.714285714285,148000.0,148000.0
4,"Bilocale Corte Ancillotto 610, San Marco, Venezia",san-marco-rialto,240000.0,2.0,49.0,4.0,4897.959183673469,120000.0,120000.0
5,"Trilocale Ramo de l'Orso 5506, San Marco, Venezia",san-marco-rialto,398000.0,3.0,95.0,3.0,4189.473684210527,132666.66666666666,132666.66666666666
6,"Trilocale piazza San Marco, San Marco, Venezia",san-marco-rialto,295000.0,3.0,65.0,1.0,4538.461538461538,98333.33333333333,98333.33333333333
7,"Appartamento buono stato, terzo piano, Santi Giovanni e Paolo - Santa Maria Formosa, Venezia",san-marco-rialto,430000.0,5.0,123.0,3.0,3495.9349593495936,86000.0,86000.0
8,"Quadrilocale Corte del Duca Sforza 3045, San Marco, Venezia",san-marco-rialto,695000.0,4.0,103.0,0.0,6747.57281553398,173750.0,173750.0
9,"Appartamento buono stato, terzo piano, San Marco, Venezia",san-marco-rialto,1350000.0,5.0,210.0,3.0,6428.571428571428,270000.0,270000.0
10,"Trilocale Campo Manin, San Marco, Venezia",san-marco-rialto,520000.0,3.0,100.0,3.0,5200.0,173333.33333333334,173333.33333333334
11,"Appartamento Ponte De Rialto, San Marco, Venezia",san-marco-rialto,580000.0,5.0,140.0,3.0,4142.857142857143,116000.0,116000.0
12,"Quadrilocale ottimo stato, primo piano, San Marco, Venezia",san-marco-rialto,540000.0,4.0,90.0,1.0,6000.0,135000.0,135000.0
13,"Trilocale Corte Vechia 3500, San Marco, Venezia",san-marco-rialto,275000.0,3.0,61.0,0.0,4508.196721311476,91666.66666666667,91666.66666666667
14,"Appartamento calle degli avvocati 3907, San Marco, Venezia",san-marco-rialto,1480000.0,5.0,291.0,2.0,5085.910652920962,296000.0,296000.0
15,"Trilocale Ponte De Rialto, San Marco, Venezia",san-marco-rialto,498000.0,3.0,80.0,2.0,6225.0,166000.0,166000.0
16,"Appartamento ottimo stato, primo piano, San Marco, Venezia",san-marco-rialto,1100000.0,5.0,200.0,1.0,5500.0,220000.0,220000.0
17,"Trilocale piazza San Marco, San Marco, Venezia",san-marco-rialto,775000.0,3.0,80.0,4.0,9687.5,258333.33333333334,258333.33333333334
18,"Quadrilocale Calle Bianca Cappello Già Ponte Storto 1285, Rialto, Venezia",san-marco-rialto,455000.0,4.0,148.0,1.0,3074.324324324324,113750.0,113750.0
19,"Quadrilocale Calle Toscana 559, Rialto, Venezia",san-marco-rialto,359000.0,4.0,98.0,1.0,3663.265306122449,89750.0,89750.0
20,"Trilocale Lion, San Marco, Venezia",san-marco-rialto,255000.0,3.0,50.0,0.0,5100.0,85000.0,85000.0
21,"Trilocale Sotoportego Barbarigo 2503, San Marco, Venezia",san-marco-rialto,490000.0,3.0,90.0,4.0,5444.444444444444,163333.33333333334,163333.33333333334
22,"Appartamento Campo San Provolo, San Marco, Venezia",san-marco-rialto,520000.0,5.0,125.0,2.0,4160.0,104000.0,104000.0
23,"Appartamento Calle de la Mandola, San Marco, Venezia",san-marco-rialto,520000.0,5.0,155.0,1.0,3354.8387096774195,104000.0,104000.0
24,"Trilocale piazza San Marco, San Marco, Venezia",san-marco-rialto,400000.0,3.0,65.0,1.0,6153.846153846154,133333.33333333334,133333.33333333334
25,"Appartamento Campo San Silvestro, Rialto, Venezia",san-marco-rialto,545000.0,5.0,125.0,1.0,4360.0,109000.0,109000.0
26,"Trilocale Salizada San Samuele, San Marco, Venezia",san-marco-rialto,490000.0,3.0,65.0,0.0,7538.461538461538,163333.33333333334,163333.33333333334
27,"Appartamento Campo San Moisè, San Marco, Venezia",san-marco-rialto,1835000.0,5.0,370.0,3.0,4959.459459459459,367000.0,367000.0
28,"Quadrilocale Salizada San Samuele, San Marco, Venezia",san-marco-rialto,585000.0,4.0,100.0,1.0,5850.0,146250.0,146250.0
29,"Appartamento Campo Manin, San Marco, Venezia",san-marco-rialto,1100000.0,5.0,170.0,2.0,6470.588235294118,220000.0,220000.0
30,"Trilocale Calle Larga 22 Marzo, San Marco, Venezia",san-marco-rialto,530000.0,3.0,85.0,5.0,6235.294117647059,176666.66666666666,176666.66666666666
31,"Bilocale Campo Manin, San Marco, Venezia",san-marco-rialto,400000.0,2.0,60.0,4.0,6666.666666666667,200000.0,200000.0
32,"Appartamento Campo San Provolo, San Marco, Venezia",san-marco-rialto,6500000.0,5.0,350.0,3.0,18571.428571428572,1300000.0,1300000.0
33,"Appartamento Campo de la Guerra, San Marco, Venezia",san-marco-rialto,790000.0,5.0,180.0,3.0,4388.888888888889,158000.0,158000.0
34,"Quadrilocale Campo San Maurizio, San Marco, Venezia",san-marco-rialto,1295000.0,4.0,130.0,2.0,9961.538461538461,323750.0,323750.0
35,"Appartamento Riva del Vin, Rialto, Venezia",san-marco-rialto,590000.0,5.0,160.0,1.0,3687.5,118000.0,118000.0
36,"Appartamento Campo Santo Stefano, San Marco, Venezia",san-marco-rialto,460000.0,5.0,132.0,0.0,3484.848484848485,92000.0,92000.0
37,"Quadrilocale Calle Toscana 559, Rialto, Venezia",san-marco-rialto,359000.0,4.0,98.0,1.0,3663.265306122449,89750.0,89750.0
38,"Attico Campo Manin, San Marco, Venezia",san-marco-rialto,519000.0,4.0,100.0,3.0,5190.0,129750.0,129750.0
39,"Attico Sotoportego del Tagiapiera, San Polo, Venezia",san-marco-rialto,390000.0,4.0,85.0,3.0,4588.235294117647,97500.0,97500.0
40,"Appartamento Calle de la Malvasia Vechia, San Marco, Venezia",san-marco-rialto,670000.0,5.0,123.0,1.0,5447.154471544715,134000.0,134000.0
